Ano/Trilha;Fase;Título da Fase;Código BNCC;Objetivo Pedagógico;Enunciado (Desafio do Aluno);Rótulos das Vagas (Chão);Caixas Disponíveis;Mensagem de Sucesso
1º Ano;1;Contagem de Objetos;EF01MA01 / EF01MA04 - Contagem e Leitura de Números Naturais;Desenvolve a contagem de elementos em coleções pequenas e o registro numérico correspondente.;Conte quantas caixas estão nesta sala e coloque no espaço marcado a caixa com o número correspondente a esse total.;[Apenas espaço físico no chão];3, 1, 2;3 caixas contadas com sucesso! Caminho liberado!
1º Ano;2;Correspondência Um a Um;EF01MA02 - Correspondência Um a Um entre Coleções;Estimula o pareamento biunívoco, associando cada elemento de uma coleção ao seu respectivo receptor.;Coloque cada caixa em sua vaga.;"""Vaga 1"" | ""Vaga 2""";1, 2;Correspondência 1 a 1 completada com sucesso!
1º Ano;3;Comparação de Quantidades;EF01MA03 - Estimar e Comparar Quantidades (Mais e Menos);Exercita a comparação de grandezas discretas para identificar onde há maior quantidade de unidades.;Compare as caixas disponíveis. Qual delas representa a MAIOR quantidade? Coloque a caixa escolhida no espaço demarcado.;"""Maior Valor""";2, 5;5 é maior que 2! Você escolheu a maior quantidade!
1º Ano;4;Ordem e Posição (O Número Entre);EF01MA01 - Ordem, Posição e Sucessão Numérica;Trabalha noções de ordenação posicional e localização relativa (primeiro, entre e depois).;Na sequência de números de 1 a 3, qual número fica exatamente no meio (entre 1 e 3)? Coloque a resposta na vaga indicada.;"""Entre 1 e 3""";2, 4;O número 2 fica entre 1 e 3 na sequência numérica!
1º Ano;5;Ordenação Crescente;EF01MA01 / EF01MA10 - Sequência Numérica e Ordenação Crescente;Desenvolve a capacidade de ordenar elementos segundo critérios numéricos crescentes (do menor para o maior).;Organize as caixas nos três espaços em ordem crescente, partindo do menor para o maior.;"""1º lugar"" | ""2º lugar"" | ""3º lugar""";3, 1, 2;Ordem crescente 1, 2, 3 organizada com sucesso!
1º Ano;6;Padrões e Regularidades;EF01MA09 / EF01MA10 - Padrões de Repetição e Regularidades;Estimula o reconhecimento de regularidades em sequências repetitivas com atributos de cores e materiais.;Observe a sequência: Azul, Madeira, Azul... Descubra qual caixa mantém a ordem e complete a fila no espaço marcado.;"""Próxima da fila""";1, 2, 3;Padrão completado: Azul, Madeira, Azul, Madeira!
1º Ano;7;Sequência Numérica (+1);EF01MA10 - Sequências Recursivas Simples (+1);Trabalha a ideia de sucessor imediato na contagem natural de números.;Seguindo a contagem 2, 3, 4... Qual é o próximo número (+1)? Coloque o número que vem a seguir no espaço vazio.;"""Próximo número""";5, 3, 2;2, 3, 4 e 5! Contagem sucessiva correta!
1º Ano;8;Juntar Quantidades;EF01MA06 / EF01MA08 - Problemas de Juntar e Adição Concreta;Desenvolve a noção concreta de adição como união e agrupamento de duas coleções.;Junte duas caixas nos espaços marcados que somadas atinjam exatamente a meta de 5 unidades.;"""Junte aqui"" | ""Junte aqui""";2, 3, 4;2 + 3 = 5 unidades! Quantidades reunidas com sucesso!
1º Ano;9;Retirar e Separar;EF01MA08 - Problemas de Separar e Retirar (Subtração Concreta);Exercita o significado subtrativo de retirar uma quantidade de um grupo inicial.;Em uma brincadeira havia 5 blocos e 2 foram guardados. Quantos blocos restaram? Coloque a sobra no espaço indicado.;"""5 - 2 = ?""";2, 3, 4;5 retirando 2 resultam em 3 brinquedos!
1º Ano;10;Desafio Integrador;EF01MA01 / EF01MA06 / EF01MA08 - Síntese de Contagem e Composição;Integra os conhecimentos de contagem, comparação e composição de números do 1º ano.;Desafio final do 1º Ano: encontre o par de caixas que juntas somam 6 unidades para abrir o portão.;"""Parte 1"" | ""Parte 2""";4, 2, 1;4 + 2 = 6! Bateria do 1º Ano concluída com êxito!
2º Ano;1;Ordenação de Dezenas;EF02MA01 - Comparar e Ordenar Números Naturais;Desenvolve a compreensão posicional e a ordenação de dezenas exatas no sistema decimal.;Organize as dezenas nos três espaços em ordem crescente (do menor para o maior).;"""1º (Menor)"" | ""2º (Médio)"" | ""3º (Maior)""";30, 10, 20;Dezenas ordenadas: 10 -> 20 -> 30!
2º Ano;2;Comparação de Números (>);EF02MA01 - Relações de Ordem e Desigualdade;Estimula o julgamento relacional de ordem e desigualdade numérica através do símbolo de maior que (>).;O espaço exige um número MAIOR que 15 (> 15). Analise as opções e coloque a caixa adequada na vaga.;"""> 15""";12, 18, 9;18 é maior que 15! Condição satisfeita!
2º Ano;3;Reta Numérica;EF02MA01 - Localização de Números Naturais na Reta Numérica;Exercita a localização de números na reta numérica respeitando a escala dos intervalos.;Observe a reta numérica: 10, 20, [ ? ], 40. Descubra o número que falta e coloque-o na vaga indicada.;"""10, 20, ?, 40""";30, 25, 35;10, 20, 30, 40: reta numérica completada!
2º Ano;4;Composição de Números;EF02MA01 / EF02MA05 - Composição e Decomposição de Números Naturais;Compreensão da estrutura decimal por meio da decomposição aditiva de dezenas e unidades.;Componha o número 25 colocando dezenas inteiras e unidades nos espaços indicados.;"""Dezenas"" | ""Unidades""";20, 5, 10;20 + 5 = 25! Número composto corretamente!
